,Units,scenario,region,sector,year,value,rundate
1,MTC,Reference,Africa_Eastern,H2 central production,2025,0.0327403,2/5/2024 11:54
2,MTC,Reference,Africa_Eastern,H2 central production,2030,0.25598894,2/5/2024 11:54
3,MTC,Reference,Africa_Eastern,H2 central production,2035,0.70339252,2/5/2024 11:54
4,MTC,Reference,Africa_Eastern,H2 central production,2040,1.29885769,2/5/2024 11:54
5,MTC,Reference,Africa_Eastern,H2 central production,2045,2.09237514,2/5/2024 11:54
6,MTC,Reference,Africa_Eastern,H2 central production,2050,3.17430331,2/5/2024 11:54
7,MTC,Reference,Africa_Eastern,H2 central production,2055,4.50226248,2/5/2024 11:54
8,MTC,Reference,Africa_Eastern,H2 central production,2060,6.04204604,2/5/2024 11:54
9,MTC,Reference,Africa_Eastern,H2 central production,2065,7.6294579,2/5/2024 11:54
10,MTC,Reference,Africa_Eastern,H2 central production,2070,9.1951534,2/5/2024 11:54
11,MTC,Reference,Africa_Eastern,H2 central production,2075,10.639543,2/5/2024 11:54
12,MTC,Reference,Africa_Eastern,H2 central production,2080,11.841526,2/5/2024 11:54
13,MTC,Reference,Africa_Eastern,H2 central production,2085,12.886958,2/5/2024 11:54
14,MTC,Reference,Africa_Eastern,H2 central production,2090,13.737109,2/5/2024 11:54
15,MTC,Reference,Africa_Eastern,H2 central production,2095,14.271388,2/5/2024 11:54
16,MTC,Reference,Africa_Eastern,H2 central production,2100,14.611423,2/5/2024 11:54
17,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2025,0.0082057,2/5/2024 11:54
18,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2030,0.05382709,2/5/2024 11:54
19,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2035,0.19306748,2/5/2024 11:54
20,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2040,0.40343481,2/5/2024 11:54
21,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2045,0.697512,2/5/2024 11:54
22,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2050,1.1197054,2/5/2024 11:54
23,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2055,1.68729,2/5/2024 11:54
24,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2060,2.495918,2/5/2024 11:54
25,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2065,3.611867,2/5/2024 11:54
26,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2070,5.040114,2/5/2024 11:54
27,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2075,6.683727,2/5/2024 11:54
28,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2080,8.344458,2/5/2024 11:54
29,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2085,9.94536,2/5/2024 11:54
30,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2090,11.3708,2/5/2024 11:54
31,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2095,12.51211,2/5/2024 11:54
32,MTC,Reference,Africa_Eastern,H2 wholesale dispensing,2100,13.48638,2/5/2024 11:54
33,MTC,Reference,Africa_Eastern,N fertilizer,1975,0.00425899,2/5/2024 11:54
34,MTC,Reference,Africa_Eastern,N fertilizer,1990,0.0117654,2/5/2024 11:54
35,MTC,Reference,Africa_Eastern,N fertilizer,2005,0.00132837,2/5/2024 11:54
36,MTC,Reference,Africa_Eastern,N fertilizer,2020,0.0408462,2/5/2024 11:54
37,MTC,Reference,Africa_Eastern,N fertilizer,2025,0.1357409,2/5/2024 11:54
38,MTC,Reference,Africa_Eastern,N fertilizer,2030,0.20777192,2/5/2024 11:54
39,MTC,Reference,Africa_Eastern,N fertilizer,2035,0.280421,2/5/2024 11:54
40,MTC,Reference,Africa_Eastern,N fertilizer,2040,0.32825874,2/5/2024 11:54
41,MTC,Reference,Africa_Eastern,N fertilizer,2045,0.36649714,2/5/2024 11:54
42,MTC,Reference,Africa_Eastern,N fertilizer,2050,0.391808707,2/5/2024 11:54
43,MTC,Reference,Africa_Eastern,N fertilizer,2055,0.413827943,2/5/2024 11:54
44,MTC,Reference,Africa_Eastern,N fertilizer,2060,0.437575087,2/5/2024 11:54
45,MTC,Reference,Africa_Eastern,N fertilizer,2065,0.46554878,2/5/2024 11:54
46,MTC,Reference,Africa_Eastern,N fertilizer,2070,0.497634014,2/5/2024 11:54
47,MTC,Reference,Africa_Eastern,N fertilizer,2075,0.530462663,2/5/2024 11:54
48,MTC,Reference,Africa_Eastern,N fertilizer,2080,0.559733845,2/5/2024 11:54
49,MTC,Reference,Africa_Eastern,N fertilizer,2085,0.58414474,2/5/2024 11:54
50,MTC,Reference,Africa_Eastern,N fertilizer,2090,0.60416644,2/5/2024 11:54
51,MTC,Reference,Africa_Eastern,N fertilizer,2095,0.6186952,2/5/2024 11:54
52,MTC,Reference,Africa_Eastern,N fertilizer,2100,0.62574131,2/5/2024 11:54
53,MTC,Reference,Africa_Eastern,agricultural energy use,1975,0.0702167,2/5/2024 11:54
54,MTC,Reference,Africa_Eastern,agricultural energy use,1990,0.1236631,2/5/2024 11:54
55,MTC,Reference,Africa_Eastern,agricultural energy use,2005,0.7985503,2/5/2024 11:54
56,MTC,Reference,Africa_Eastern,agricultural energy use,2010,0.8162247,2/5/2024 11:54
57,MTC,Reference,Africa_Eastern,agricultural energy use,2015,0.9817631,2/5/2024 11:54
58,MTC,Reference,Africa_Eastern,agricultural energy use,2020,1.0892545,2/5/2024 11:54
59,MTC,Reference,Africa_Eastern,agricultural energy use,2025,1.1937546,2/5/2024 11:54
60,MTC,Reference,Africa_Eastern,agricultural energy use,2030,1.27469696,2/5/2024 11:54
61,MTC,Reference,Africa_Eastern,agricultural energy use,2035,1.35432724,2/5/2024 11:54
62,MTC,Reference,Africa_Eastern,agricultural energy use,2040,1.42498659,2/5/2024 11:54
63,MTC,Reference,Africa_Eastern,agricultural energy use,2045,1.48389733,2/5/2024 11:54
64,MTC,Reference,Africa_Eastern,agricultural energy use,2050,1.54209952,2/5/2024 11:54
65,MTC,Reference,Africa_Eastern,agricultural energy use,2055,1.6182862,2/5/2024 11:54
66,MTC,Reference,Africa_Eastern,agricultural energy use,2060,1.72136034,2/5/2024 11:54
67,MTC,Reference,Africa_Eastern,agricultural energy use,2065,1.79800716,2/5/2024 11:54
68,MTC,Reference,Africa_Eastern,agricultural energy use,2070,1.8424863,2/5/2024 11:54
69,MTC,Reference,Africa_Eastern,agricultural energy use,2075,1.85891506,2/5/2024 11:54
70,MTC,Reference,Africa_Eastern,agricultural energy use,2080,1.85766327,2/5/2024 11:54
71,MTC,Reference,Africa_Eastern,agricultural energy use,2085,1.84172139,2/5/2024 11:54
72,MTC,Reference,Africa_Eastern,agricultural energy use,2090,1.81721609,2/5/2024 11:54
73,MTC,Reference,Africa_Eastern,agricultural energy use,2095,1.78482576,2/5/2024 11:54
74,MTC,Reference,Africa_Eastern,agricultural energy use,2100,1.74609562,2/5/2024 11:54
75,MTC,Reference,Africa_Eastern,backup_electricity,2020,0.0220339,2/5/2024 11:54
76,MTC,Reference,Africa_Eastern,backup_electricity,2025,0.139451,2/5/2024 11:54
77,MTC,Reference,Africa_Eastern,backup_electricity,2030,0.666162,2/5/2024 11:54
78,MTC,Reference,Africa_Eastern,backup_electricity,2035,1.87302,2/5/2024 11:54
79,MTC,Reference,Africa_Eastern,backup_electricity,2040,3.89712,2/5/2024 11:54
80,MTC,Reference,Africa_Eastern,backup_electricity,2045,6.80252,2/5/2024 11:54
81,MTC,Reference,Africa_Eastern,backup_electricity,2050,10.1917,2/5/2024 11:54
82,MTC,Reference,Africa_Eastern,backup_electricity,2055,13.7719,2/5/2024 11:54
83,MTC,Reference,Africa_Eastern,backup_electricity,2060,17.1636,2/5/2024 11:54
84,MTC,Reference,Africa_Eastern,backup_electricity,2065,20.2149,2/5/2024 11:54
85,MTC,Reference,Africa_Eastern,backup_electricity,2070,22.1238,2/5/2024 11:54
86,MTC,Reference,Africa_Eastern,backup_electricity,2075,23.3186,2/5/2024 11:54
87,MTC,Reference,Africa_Eastern,backup_electricity,2080,23.9291,2/5/2024 11:54
88,MTC,Reference,Africa_Eastern,backup_electricity,2085,23.7802,2/5/2024 11:54
89,MTC,Reference,Africa_Eastern,backup_electricity,2090,23.333,2/5/2024 11:54
90,MTC,Reference,Africa_Eastern,backup_electricity,2095,22.7022,2/5/2024 11:54
91,MTC,Reference,Africa_Eastern,backup_electricity,2100,21.9575,2/5/2024 11:54
92,MTC,Reference,Africa_Eastern,cement,1975,0.192,2/5/2024 11:54
93,MTC,Reference,Africa_Eastern,cement,1990,0.299,2/5/2024 11:54
94,MTC,Reference,Africa_Eastern,cement,2005,0.725,2/5/2024 11:54
95,MTC,Reference,Africa_Eastern,cement,2010,1.093,2/5/2024 11:54
96,MTC,Reference,Africa_Eastern,cement,2015,1.093,2/5/2024 11:54
97,MTC,Reference,Africa_Eastern,cement,2020,1.327533,2/5/2024 11:54
98,MTC,Reference,Africa_Eastern,cement,2025,1.761083,2/5/2024 11:54
99,MTC,Reference,Africa_Eastern,cement,2030,2.649644,2/5/2024 11:54
100,MTC,Reference,Africa_Eastern,cement,2035,4.041549,2/5/2024 11:54
101,MTC,Reference,Africa_Eastern,cement,2040,6.058899,2/5/2024 11:54
102,MTC,Reference,Africa_Eastern,cement,2045,8.879028,2/5/2024 11:54
103,MTC,Reference,Africa_Eastern,cement,2050,12.7061164,2/5/2024 11:54
104,MTC,Reference,Africa_Eastern,cement,2055,17.80879211,2/5/2024 11:54
105,MTC,Reference,Africa_Eastern,cement,2060,23.18044517,2/5/2024 11:54
106,MTC,Reference,Africa_Eastern,cement,2065,27.6421648,2/5/2024 11:54
107,MTC,Reference,Africa_Eastern,cement,2070,31.362158,2/5/2024 11:54
108,MTC,Reference,Africa_Eastern,cement,2075,34.4169315,2/5/2024 11:54
109,MTC,Reference,Africa_Eastern,cement,2080,36.7803431,2/5/2024 11:54
110,MTC,Reference,Africa_Eastern,cement,2085,38.6511207,2/5/2024 11:54
111,MTC,Reference,Africa_Eastern,cement,2090,40.0262253,2/5/2024 11:54
112,MTC,Reference,Africa_Eastern,cement,2095,40.9178503,2/5/2024 11:54
113,MTC,Reference,Africa_Eastern,cement,2100,41.3986678,2/5/2024 11:54
114,MTC,Reference,Africa_Eastern,comm heating,1990,0.0113065,2/5/2024 11:54
115,MTC,Reference,Africa_Eastern,comm heating,2005,0.024432354,2/5/2024 11:54
116,MTC,Reference,Africa_Eastern,comm heating,2010,0.026970351,2/5/2024 11:54
117,MTC,Reference,Africa_Eastern,comm heating,2015,0.02985365,2/5/2024 11:54
118,MTC,Reference,Africa_Eastern,comm heating,2020,0.038609867,2/5/2024 11:54
119,MTC,Reference,Africa_Eastern,comm heating,2025,0.043222256,2/5/2024 11:54
120,MTC,Reference,Africa_Eastern,comm heating,2030,0.054335582,2/5/2024 11:54
121,MTC,Reference,Africa_Eastern,comm heating,2035,0.078408414,2/5/2024 11:54
122,MTC,Reference,Africa_Eastern,comm heating,2040,0.114222214,2/5/2024 11:54
123,MTC,Reference,Africa_Eastern,comm heating,2045,0.165587859,2/5/2024 11:54
124,MTC,Reference,Africa_Eastern,comm heating,2050,0.239444388,2/5/2024 11:54
125,MTC,Reference,Africa_Eastern,comm heating,2055,0.337224825,2/5/2024 11:54
126,MTC,Reference,Africa_Eastern,comm heating,2060,0.455481695,2/5/2024 11:54
127,MTC,Reference,Africa_Eastern,comm heating,2065,0.590537934,2/5/2024 11:54
128,MTC,Reference,Africa_Eastern,comm heating,2070,0.730367349,2/5/2024 11:54
129,MTC,Reference,Africa_Eastern,comm heating,2075,0.862362432,2/5/2024 11:54
130,MTC,Reference,Africa_Eastern,comm heating,2080,0.980970376,2/5/2024 11:54
131,MTC,Reference,Africa_Eastern,comm heating,2085,1.078893413,2/5/2024 11:54
132,MTC,Reference,Africa_Eastern,comm heating,2090,1.146571173,2/5/2024 11:54
133,MTC,Reference,Africa_Eastern,comm heating,2095,1.185726719,2/5/2024 11:54
134,MTC,Reference,Africa_Eastern,comm heating,2100,1.21781338,2/5/2024 11:54
135,MTC,Reference,Africa_Eastern,comm others,1990,0.806815,2/5/2024 11:54
136,MTC,Reference,Africa_Eastern,comm others,2005,2.149498769,2/5/2024 11:54
137,MTC,Reference,Africa_Eastern,comm others,2010,2.633042991,2/5/2024 11:54
138,MTC,Reference,Africa_Eastern,comm others,2015,2.861201189,2/5/2024 11:54
139,MTC,Reference,Africa_Eastern,comm others,2020,2.41913148,2/5/2024 11:54
140,MTC,Reference,Africa_Eastern,comm others,2025,3.228827822,2/5/2024 11:54
141,MTC,Reference,Africa_Eastern,comm others,2030,4.008977175,2/5/2024 11:54
142,MTC,Reference,Africa_Eastern,comm others,2035,4.717223308,2/5/2024 11:54
143,MTC,Reference,Africa_Eastern,comm others,2040,5.040731177,2/5/2024 11:54
144,MTC,Reference,Africa_Eastern,comm others,2045,5.20505843,2/5/2024 11:54
145,MTC,Reference,Africa_Eastern,comm others,2050,5.35721747,2/5/2024 11:54
146,MTC,Reference,Africa_Eastern,comm others,2055,5.39878827,2/5/2024 11:54
147,MTC,Reference,Africa_Eastern,comm others,2060,5.36837811,2/5/2024 11:54
148,MTC,Reference,Africa_Eastern,comm others,2065,5.25102057,2/5/2024 11:54
149,MTC,Reference,Africa_Eastern,comm others,2070,5.12798915,2/5/2024 11:54
150,MTC,Reference,Africa_Eastern,comm others,2075,4.93097231,2/5/2024 11:54
151,MTC,Reference,Africa_Eastern,comm others,2080,4.65190206,2/5/2024 11:54
152,MTC,Reference,Africa_Eastern,comm others,2085,4.31596139,2/5/2024 11:54
153,MTC,Reference,Africa_Eastern,comm others,2090,3.93135234,2/5/2024 11:54
154,MTC,Reference,Africa_Eastern,comm others,2095,3.54505908,2/5/2024 11:54
155,MTC,Reference,Africa_Eastern,comm others,2100,3.19947913,2/5/2024 11:54
156,MTC,Reference,Africa_Eastern,construction energy use,2005,0.02379349,2/5/2024 11:54
157,MTC,Reference,Africa_Eastern,construction energy use,2010,0.0795844,2/5/2024 11:54
158,MTC,Reference,Africa_Eastern,construction energy use,2015,0.03774037,2/5/2024 11:54
159,MTC,Reference,Africa_Eastern,construction energy use,2020,0.04256496,2/5/2024 11:54
160,MTC,Reference,Africa_Eastern,construction energy use,2025,0.04547172,2/5/2024 11:54
161,MTC,Reference,Africa_Eastern,construction energy use,2030,0.04718116,2/5/2024 11:54
162,MTC,Reference,Africa_Eastern,construction energy use,2035,0.048744436,2/5/2024 11:54
163,MTC,Reference,Africa_Eastern,construction energy use,2040,0.050119575,2/5/2024 11:54
164,MTC,Reference,Africa_Eastern,construction energy use,2045,0.05027145,2/5/2024 11:54
165,MTC,Reference,Africa_Eastern,construction energy use,2050,0.04987003,2/5/2024 11:54
166,MTC,Reference,Africa_Eastern,construction energy use,2055,0.05124496,2/5/2024 11:54
167,MTC,Reference,Africa_Eastern,construction energy use,2060,0.05432112,2/5/2024 11:54
168,MTC,Reference,Africa_Eastern,construction energy use,2065,0.05793406,2/5/2024 11:54
169,MTC,Reference,Africa_Eastern,construction energy use,2070,0.06126506,2/5/2024 11:54
170,MTC,Reference,Africa_Eastern,construction energy use,2075,0.06382949,2/5/2024 11:54
171,MTC,Reference,Africa_Eastern,construction energy use,2080,0.0658723,2/5/2024 11:54
172,MTC,Reference,Africa_Eastern,construction energy use,2085,0.06757639,2/5/2024 11:54
173,MTC,Reference,Africa_Eastern,construction energy use,2090,0.0689001,2/5/2024 11:54
174,MTC,Reference,Africa_Eastern,construction energy use,2095,0.06985425,2/5/2024 11:54
175,MTC,Reference,Africa_Eastern,construction energy use,2100,0.07056191,2/5/2024 11:54
176,MTC,Reference,Africa_Eastern,desalinated water,1990,0.000533494,2/5/2024 11:54
177,MTC,Reference,Africa_Eastern,desalinated water,2005,0.000508242,2/5/2024 11:54
178,MTC,Reference,Africa_Eastern,desalinated water,2010,0.000511976,2/5/2024 11:54
179,MTC,Reference,Africa_Eastern,desalinated water,2015,0.000521148,2/5/2024 11:54
180,MTC,Reference,Africa_Eastern,desalinated water,2020,0.000515769,2/5/2024 11:54
181,MTC,Reference,Africa_Eastern,desalinated water,2025,0.00053011,2/5/2024 11:54
182,MTC,Reference,Africa_Eastern,desalinated water,2030,0.000612266,2/5/2024 11:54
183,MTC,Reference,Africa_Eastern,desalinated water,2035,0.000819211,2/5/2024 11:54
184,MTC,Reference,Africa_Eastern,desalinated water,2040,0.001092279,2/5/2024 11:54
185,MTC,Reference,Africa_Eastern,desalinated water,2045,0.001412407,2/5/2024 11:54
186,MTC,Reference,Africa_Eastern,desalinated water,2050,0.00182999,2/5/2024 11:54
187,MTC,Reference,Africa_Eastern,desalinated water,2055,0.002254476,2/5/2024 11:54
188,MTC,Reference,Africa_Eastern,desalinated water,2060,0.002615932,2/5/2024 11:54
189,MTC,Reference,Africa_Eastern,desalinated water,2065,0.002983427,2/5/2024 11:54
190,MTC,Reference,Africa_Eastern,desalinated water,2070,0.003336578,2/5/2024 11:54
191,MTC,Reference,Africa_Eastern,desalinated water,2075,0.003665054,2/5/2024 11:54
192,MTC,Reference,Africa_Eastern,desalinated water,2080,0.003973476,2/5/2024 11:54
193,MTC,Reference,Africa_Eastern,desalinated water,2085,0.00424608,2/5/2024 11:54
194,MTC,Reference,Africa_Eastern,desalinated water,2090,0.004482248,2/5/2024 11:54
195,MTC,Reference,Africa_Eastern,desalinated water,2095,0.004679329,2/5/2024 11:54
196,MTC,Reference,Africa_Eastern,desalinated water,2100,0.004824536,2/5/2024 11:54
197,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2025,0.10317775,2/5/2024 11:54
198,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2030,0.47128633,2/5/2024 11:54
199,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2035,1.22955484,2/5/2024 11:54
200,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2040,2.58891494,2/5/2024 11:54
201,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2045,4.69806525,2/5/2024 11:54
202,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2050,7.47518119,2/5/2024 11:54
203,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2055,11.0559773,2/5/2024 11:54
204,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2060,15.35265892,2/5/2024 11:54
205,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2065,20.23288065,2/5/2024 11:54
206,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2070,25.50353549,2/5/2024 11:54
207,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2075,30.91068756,2/5/2024 11:54
208,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2080,36.19940308,2/5/2024 11:54
209,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2085,41.40173943,2/5/2024 11:54
210,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2090,46.3717061,2/5/2024 11:54
211,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2095,50.9725645,2/5/2024 11:54
212,MTC,Reference,Africa_Eastern,elec_biomass (IGCC),2100,54.8158496,2/5/2024 11:54
213,MTC,Reference,Africa_Eastern,elec_biomass (conv),1990,0.1145861,2/5/2024 11:54
214,MTC,Reference,Africa_Eastern,elec_biomass (conv),2005,0.19930559,2/5/2024 11:54
215,MTC,Reference,Africa_Eastern,elec_biomass (conv),2010,0.23300402,2/5/2024 11:54
216,MTC,Reference,Africa_Eastern,elec_biomass (conv),2015,0.26121381,2/5/2024 11:54
217,MTC,Reference,Africa_Eastern,elec_biomass (conv),2020,0.41682907,2/5/2024 11:54
218,MTC,Reference,Africa_Eastern,elec_biomass (conv),2025,0.95581698,2/5/2024 11:54
219,MTC,Reference,Africa_Eastern,elec_biomass (conv),2030,2.74813317,2/5/2024 11:54
220,MTC,Reference,Africa_Eastern,elec_biomass (conv),2035,6.07660273,2/5/2024 11:54
221,MTC,Reference,Africa_Eastern,elec_biomass (conv),2040,11.19259069,2/5/2024 11:54
222,MTC,Reference,Africa_Eastern,elec_biomass (conv),2045,18.10644912,2/5/2024 11:54
223,MTC,Reference,Africa_Eastern,elec_biomass (conv),2050,26.24767021,2/5/2024 11:54
224,MTC,Reference,Africa_Eastern,elec_biomass (conv),2055,35.55279422,2/5/2024 11:54
225,MTC,Reference,Africa_Eastern,elec_biomass (conv),2060,45.79353727,2/5/2024 11:54
226,MTC,Reference,Africa_Eastern,elec_biomass (conv),2065,56.56664929,2/5/2024 11:54
227,MTC,Reference,Africa_Eastern,elec_biomass (conv),2070,67.81585371,2/5/2024 11:54
228,MTC,Reference,Africa_Eastern,elec_biomass (conv),2075,79.15157423,2/5/2024 11:54
229,MTC,Reference,Africa_Eastern,elec_biomass (conv),2080,89.88026907,2/5/2024 11:54
230,MTC,Reference,Africa_Eastern,elec_biomass (conv),2085,100.3622584,2/5/2024 11:54
231,MTC,Reference,Africa_Eastern,elec_biomass (conv),2090,109.9102531,2/5/2024 11:54
232,MTC,Reference,Africa_Eastern,elec_biomass (conv),2095,118.370927,2/5/2024 11:54
233,MTC,Reference,Africa_Eastern,elec_biomass (conv),2100,124.7210266,2/5/2024 11:54
234,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2025,0.097870498,2/5/2024 11:54
235,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2030,0.367324435,2/5/2024 11:54
236,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2035,0.831415366,2/5/2024 11:54
237,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2040,1.575708541,2/5/2024 11:54
238,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2045,2.657937638,2/5/2024 11:54
239,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2050,4.03254349,2/5/2024 11:54
240,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2055,5.762674641,2/5/2024 11:54
241,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2060,7.8453841,2/5/2024 11:54
242,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2065,10.23905152,2/5/2024 11:54
243,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2070,12.8544727,2/5/2024 11:54
244,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2075,15.57639263,2/5/2024 11:54
245,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2080,18.32985118,2/5/2024 11:54
246,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2085,21.09708187,2/5/2024 11:54
247,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2090,23.81385814,2/5/2024 11:54
248,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2095,26.48360024,2/5/2024 11:54
249,MTC,Reference,Africa_Eastern,elec_coal (IGCC),2100,28.94111047,2/5/2024 11:54
250,MTC,Reference,Africa_Eastern,elec_coal (conv pul),1990,0.06314598,2/5/2024 11:54
251,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2005,0.433902,2/5/2024 11:54
252,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2010,0.7183685,2/5/2024 11:54
253,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2015,0.4863912,2/5/2024 11:54
254,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2020,0.79633022,2/5/2024 11:54
255,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2025,1.08606041,2/5/2024 11:54
256,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2030,1.82893915,2/5/2024 11:54
257,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2035,3.01195185,2/5/2024 11:54
258,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2040,4.80120004,2/5/2024 11:54
259,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2045,7.26828516,2/5/2024 11:54
260,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2050,10.28721009,2/5/2024 11:54
261,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2055,13.97964563,2/5/2024 11:54
262,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2060,18.31597385,2/5/2024 11:54
263,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2065,23.2023582,2/5/2024 11:54
264,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2070,28.44134945,2/5/2024 11:54
265,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2075,33.84554017,2/5/2024 11:54
266,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2080,38.95837913,2/5/2024 11:54
267,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2085,44.2607251,2/5/2024 11:54
268,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2090,49.36801206,2/5/2024 11:54
269,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2095,54.28284125,2/5/2024 11:54
270,MTC,Reference,Africa_Eastern,elec_coal (conv pul),2100,58.74891086,2/5/2024 11:54
271,MTC,Reference,Africa_Eastern,elec_gas (CC),2010,0.001530274,2/5/2024 11:54
272,MTC,Reference,Africa_Eastern,elec_gas (CC),2015,0.002929048,2/5/2024 11:54
273,MTC,Reference,Africa_Eastern,elec_gas (CC),2020,0.025484937,2/5/2024 11:54
274,MTC,Reference,Africa_Eastern,elec_gas (CC),2025,0.062139102,2/5/2024 11:54
275,MTC,Reference,Africa_Eastern,elec_gas (CC),2030,0.175948495,2/5/2024 11:54
276,MTC,Reference,Africa_Eastern,elec_gas (CC),2035,0.397352821,2/5/2024 11:54
277,MTC,Reference,Africa_Eastern,elec_gas (CC),2040,0.731326082,2/5/2024 11:54
278,MTC,Reference,Africa_Eastern,elec_gas (CC),2045,1.292340994,2/5/2024 11:54
279,MTC,Reference,Africa_Eastern,elec_gas (CC),2050,2.13024349,2/5/2024 11:54
280,MTC,Reference,Africa_Eastern,elec_gas (CC),2055,3.374033492,2/5/2024 11:54
281,MTC,Reference,Africa_Eastern,elec_gas (CC),2060,5.06075698,2/5/2024 11:54
282,MTC,Reference,Africa_Eastern,elec_gas (CC),2065,7.16435248,2/5/2024 11:54
283,MTC,Reference,Africa_Eastern,elec_gas (CC),2070,9.74757751,2/5/2024 11:54
284,MTC,Reference,Africa_Eastern,elec_gas (CC),2075,12.76837441,2/5/2024 11:54
285,MTC,Reference,Africa_Eastern,elec_gas (CC),2080,16.0497488,2/5/2024 11:54
286,MTC,Reference,Africa_Eastern,elec_gas (CC),2085,19.7282382,2/5/2024 11:54
287,MTC,Reference,Africa_Eastern,elec_gas (CC),2090,23.5994869,2/5/2024 11:54
288,MTC,Reference,Africa_Eastern,elec_gas (CC),2095,27.3527264,2/5/2024 11:54
289,MTC,Reference,Africa_Eastern,elec_gas (CC),2100,30.9625967,2/5/2024 11:54
290,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2010,0.01129781,2/5/2024 11:54
291,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2015,0.03854039,2/5/2024 11:54
292,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2020,0.09521822,2/5/2024 11:54
293,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2025,0.137869665,2/5/2024 11:54
294,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2030,0.213626441,2/5/2024 11:54
295,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2035,0.280825491,2/5/2024 11:54
296,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2040,0.292436487,2/5/2024 11:54
297,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2045,0.336268807,2/5/2024 11:54
298,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2050,0.393821566,2/5/2024 11:54
299,MTC,Reference,Africa_Eastern,elec_gas (steam/CT),2055,0.469458869,2/5/2024 11:54
